1985 	0.07
1988 	0.06
1992 	1.62
1994 	2.53
1996 	40.19
1997 	90.35
1998 	101.06
1999 	112.66
2000 	191.39
2001 	551.1
2002 	639.25
2003 	555.31
2004 	693.98
2005 	721.35
2006 	880.62
2007 	1032.29
2008 	1176.51
2009 	1122.07
2010 	991.17
2011 	851.88
2012 	603.68
2013 	566.62
2014 	499.44
2015 	366.93
2016 	194.83
2020 	0.58
N/A 	148.22
