2006	165.07
2008	71.04
2009	65.54
2006	59.6
2006	57.83
2009	56.64
2005	46.42
2007	45.4
2010	43.63
2009	43.59
2013	42.09
2004	41.62
2005	40.29
2013	32.54
2002	32.3
2005	30.57
2001	29.95
2011	29.46
2010	29.23
2012	27.58
2012	27.35
2009	26.94
2011	26.65
2001	26.2
2008	25.68
2011	25.31
2010	25.26
2014	25.23
2005	24.27
2007	24.24
2004	23.31
2007	22.7
2008	22.01
1997	21.9
2011	21.62
2010	21.4
2009	21.21
2008	21.0
2013	20.49
2011	20.24
2012	19.8
2010	19.72
1997	19.44
2012	19.42
1999	18.98
2010	18.88
2013	18.72
2007	18.63
2012	18.33
2007	17.82
2011	17.58
2015	17.15
2004	16.97
2010	16.76
2007	16.53
2012	16.33
2001	16.09
2009	16.02
1999	15.72
2008	15.43
2005	15.37
2014	15.32
2016	15.19
2010	15.02
2008	14.76
2011	14.64
2003	14.4
2009	14.4
2011	14.34
2015	14.33
1998	14.34
2006	14.31
1998	14.26
2014	14.18
2001	14.13
2004	13.8
2002	13.67
2012	13.52
2008	13.5
2011	13.48
2010	13.41
2007	13.36
2009	13.32
2005	13.25
2010	12.97
2013	12.93
2012	12.89
2010	12.89
2001	12.86
2011	12.81
2004	12.83
2002	12.8
2009	12.69
2010	12.64
2002	12.62
2004	12.58
1999	12.53
2011	12.42
2010	12.38
2006	12.18
2014	12.16
2001	12.1
1998	12.06
2008	11.98
2006	11.9
2013	11.73
2008	11.64
1998	11.64
2009	11.58
1996	11.48
2014	11.28
2007	11.27
2006	11.25
2009	11.09
2007	11.09
2009	10.98
2001	10.98
2008	10.97
2011	10.96
2014	10.95
2001	10.95
2001	10.84
2008	10.78
2016	10.77
2009	10.66
2000	10.61
2012	10.58
2003	10.57
2014	10.53
2009	10.51
1997	10.48
2012	10.45
2004	10.42
2007	10.38
2012	10.32
2012	10.28
2003	10.27
2006	10.24
2010	10.2
2009	10.18
2007	10.16
2010	10.14
1996	10.1
2006	10.06
1999	10.04
2007	9.97
2007	9.95
2008	9.86
2007	9.84
2005	9.82
2010	9.67
2007	9.64
2010	9.6
1999	9.58
2007	9.52
2000	9.46
2011	9.45
2000	9.36
2002	9.34
1996	9.26
2008	9.24
2015	9.24
2002	9.21
2007	9.18
2013	9.18
2011	9.14
2004	9.06
2007	9.06
2006	8.98
2015	8.97
2002	8.96
2016	8.93
2005	8.9
2015	8.87
2012	8.84
2001	8.83
2006	8.79
2006	8.76
2005	8.74
2010	8.73
2014	8.72
2006	8.69
2005	8.66
2013	8.64
2014	8.57
2014	8.56
2008	8.54
2001	8.47
2009	8.46
2004	8.45
2011	8.44
2015	8.44
2013	8.44
2006	8.42
2005	8.42
2003	8.41
2007	8.38
2011	8.38
2009	8.33
2002	8.28
1997	8.24
2007	8.18
2016	8.15
2007	8.14
2005	8.11
2010	8.11
2007	8.11
2007	8.11
2014	8.1
2000	8.1
2014	8.08
2005	7.95
2009	7.94
2015	7.94
2014	7.92
2015	7.91
2011	7.89
2008	7.88
2007	7.89
2009	7.8
2003	7.79
2014	7.78
2011	7.76
2015	7.75
2005	7.75
2006	7.73
2004	7.7
2010	7.69
2013	7.66
2007	7.65
2016	7.6
2007	7.58
2008	7.53
2002	7.52
2001	7.46
2007	7.42
2000	7.41
2013	7.42
2004	7.39
2002	7.34
2007	7.32
2005	7.3
2002	7.29
2001	7.29
2007	7.25
2005	7.24
2008	7.24
2009	7.24
2004	7.23
2001	7.22
2001	7.21
2013	7.17
2005	7.19
2013	7.17
2007	7.16
2006	7.07
2002	7.08
2001	7.07
2010	7.04
2008	7.01
2014	7.0
2009	7.0
2010	6.99
2013	6.98
2009	6.96
2013	6.97
2010	6.94
2008	6.93
2006	6.9
2009	6.87
2002	6.88
1998	6.84
2015	6.83
2004	6.81
2002	6.8
2011	6.79
2000	6.78
2015	6.78
2008	6.76
2014	6.74
2012	6.7
2002	6.65
2005	6.64
2009	6.62
2001	6.62
2013	6.61
2003	6.57
2015	6.56
2003	6.54
2008	6.52
2015	6.5
2008	6.49
2015	6.48
2013	6.46
2014	6.46
2015	6.42
2008	6.36
2003	6.36
2007	6.35
2010	6.35
2011	6.34
2001	6.34
2001	6.31
2007	6.28
2008	6.28
2000	6.26
2012	6.26
1998	6.25
2005	6.24
2008	6.22
2010	6.22
2006	6.21
2007	6.21
2013	6.2
